n_total,TLS_1_2,TLS_1_3,diff_ms,overhead_%
10,151.84266666666667,170.27133333333333,-18.43,-10.82
25,584.6270000000001,396.13733333333334,188.49,47.58
50,1514.7153333333333,701.4996666666666,813.22,115.93
100,2102.5086666666666,1419.6509999999998,682.86,48.1
200,2369.787,3018.2466666666664,-648.46,-21.48
